comm_id,poi_0,poi_1,poi_2,poi_3,poi_4,poi_5,poi_6,poi_7,poi_8,poi_9,poi_10,poi_11,poi_12,poi_13,poi_14,poi_15,population,canopy_cov,price,centroid_lat,centroid_lon
2008,0.44820869,-0.305418402,0.142503619,-0.591862738,-0.87621659,-0.175529838,-0.621311605,0.01399183,-0.443535119,0.090899907,0.372970223,1.22815609,0.124864668,0.108900785,0.869086027,0.107242115,3618.901367,14.02,70486.12977,39.92544029,116.2676389
2009,-0.233605951,-0.457658559,-0.408518612,-0.196968734,0.178037852,-0.105624095,-0.241642609,0.739953339,0.600524843,0.263205022,0.070203237,1.21926415,-0.597133577,-0.629765034,0.127097517,-0.338637382,4905.711914,12.15,69032,39.91977795,116.2558599
2010,-1.054852724,-0.970961988,-0.36612317,0.004926828,-0.559690893,-0.68978852,-0.575324059,1.300200105,-0.087140389,0.185837299,0.713375211,1.946844339,-1.560724974,-0.505271077,0.334956944,-1.000773311,1695.27124,20.57,71511.67344,39.92150909,116.2677462
2020,-0.478060097,-0.54689765,-0.411404431,-0.11995557,0.088420697,-0.404214114,-0.514609933,0.79033953,0.28484866,0.212548912,0.217718691,1.016655564,-0.66950345,-0.708944142,0.153667659,-0.326576948,17010.01172,21.11,61525.96667,39.93054675,116.2598211
2043,-0.406011611,-0.374470651,-0.209399581,-0.19377619,0.297313452,-0.486273468,-0.843032956,0.446364254,0.184840679,0.70967865,0.085824527,0.303907633,0.293309808,-0.78583926,0.138140962,0.285479903,2694.284424,14.19,84342.92,39.90858398,116.3070669
2044,-0.16083549,-0.124144517,0.047262385,0.179039896,0.726044416,-0.62212801,-1.166346908,0.054872345,-0.180644229,0.944911122,-0.247236326,-0.595397532,0.911952257,-0.586365044,0.20653066,0.861498952,11207.58398,28.07,74896.32054,39.90887677,116.2500983
2045,-0.100609362,-0.096662119,-0.322565824,-0.288581789,0.389512062,-0.163701579,-0.510097086,0.333761096,0.268134445,0.307389915,-0.1600243,0.702722609,0.288489461,-0.463801384,0.099239744,-0.205077991,3187.619141,24.05,95487.75,39.90441768,116.2500838
2068,-0.194359228,-0.139928341,-0.273635656,-0.046899099,0.542671382,-0.263359547,-0.652796328,0.521199822,0.218282893,0.413874388,0.060870685,0.571914792,0.068487719,-0.395773411,0.078073338,0.149821252,15862.87988,17.86,72469.63158,39.92543092,116.2622784
2074,0.319740564,0.690784335,-0.75537771,-0.312714547,0.624230325,-0.139420971,0.714589596,-0.028422577,0.735384107,-0.259036213,-0.486330241,0.80477494,0.693769753,-0.743428588,-0.517256379,-0.419280261,309.5379028,21.95,79699.25299,39.90546027,116.2594151
2075,-0.201198801,0.654704094,-0.942532837,-0.680130839,-0.110027298,-0.251080543,0.005171683,-0.267954886,1.109378338,0.036871314,-0.282967389,0.629904568,0.626442015,-1.348115444,-0.933228552,-1.375724077,3754.219971,22.21,88133.07895,39.90423806,116.2642372
